group,value,label
1969,40.1,Fort Pulaski
1970,23.5,Fort Pulaski
1971,37.3,Fort Pulaski
1972,86.7,Fort Pulaski
1973,125.3,Fort Pulaski
1974,-95.4,Fort Pulaski
1975,106.3,Fort Pulaski
1976,26.1,Fort Pulaski
1977,48.9,Fort Pulaski
1978,53.1,Fort Pulaski
1979,74.6,Fort Pulaski
1980,60.2,Fort Pulaski
1981,31.5,Fort Pulaski
1982,62.6,Fort Pulaski
1983,127.4,Fort Pulaski
1984,88.8,Fort Pulaski
1985,93.1,Fort Pulaski
1986,116.1,Fort Pulaski
1987,88.5,Fort Pulaski
1988,60.1,Fort Pulaski
1989,54.2,Fort Pulaski
1990,80.2,Fort Pulaski
1991,141.3,Fort Pulaski
1992,121.5,Fort Pulaski
1993,116.6,Fort Pulaski
1994,96.1,Fort Pulaski
1995,188.5,Fort Pulaski
1996,89.4,Fort Pulaski
1997,150.7,Fort Pulaski
1998,126.8,Fort Pulaski
1999,182.2,Fort Pulaski
2000,142.0,Fort Pulaski
2001,119.4,Fort Pulaski
2002,138.9,Fort Pulaski
2003,113.6,Fort Pulaski
2004,102.0,Fort Pulaski
2005,186.4,Fort Pulaski
2006,120.9,Fort Pulaski
2007,168.4,Fort Pulaski
2008,134.8,Fort Pulaski
2009,171.0,Fort Pulaski
2010,141.4,Fort Pulaski
2011,150.5,Fort Pulaski
2012,183.5,Fort Pulaski
2013,211.4,Fort Pulaski
2014,243.0,Fort Pulaski
1964,0.0,Galveston (Pier 21)
1965,72.5,Galveston (Pier 21)
1966,45.1,Galveston (Pier 21)
1967,91.2,Galveston (Pier 21)
1968,73.5,Galveston (Pier 21)
1969,89.1,Galveston (Pier 21)
1970,83.2,Galveston (Pier 21)
1971,96.0,Galveston (Pier 21)
1973,217.7,Galveston (Pier 21)
1974,189.4,Galveston (Pier 21)
1975,245.9,Galveston (Pier 21)
1976,123.0,Galveston (Pier 21)
1977,166.7,Galveston (Pier 21)
1978,155.9,Galveston (Pier 21)
1979,227.7,Galveston (Pier 21)
1980,156.9,Galveston (Pier 21)
1981,174.4,Galveston (Pier 21)
1982,193.8,Galveston (Pier 21)
1983,260.9,Galveston (Pier 21)
1984,177.2,Galveston (Pier 21)
1985,233.3,Galveston (Pier 21)
1986,246.7,Galveston (Pier 21)
1987,209.3,Galveston (Pier 21)
1988,194.2,Galveston (Pier 21)
1989,231.2,Galveston (Pier 21)
1990,292.9,Galveston (Pier 21)
1991,324.2,Galveston (Pier 21)
1992,289.8,Galveston (Pier 21)
1993,275.9,Galveston (Pier 21)
1994,293.1,Galveston (Pier 21)
1995,312.3,Galveston (Pier 21)
1996,242.6,Galveston (Pier 21)
1997,288.2,Galveston (Pier 21)
1998,334.7,Galveston (Pier 21)
1999,301.4,Galveston (Pier 21)
2000,267.9,Galveston (Pier 21)
2001,304.8,Galveston (Pier 21)
2002,345.5,Galveston (Pier 21)
2003,319.2,Galveston (Pier 21)
2004,332.7,Galveston (Pier 21)
2005,324.2,Galveston (Pier 21)
2006,255.4,Galveston (Pier 21)
2007,354.8,Galveston (Pier 21)
2008,339.6,Galveston (Pier 21)
2009,320.8,Galveston (Pier 21)
2010,369.2,Galveston (Pier 21)
2011,318.2,Galveston (Pier 21)
2012,383.3,Galveston (Pier 21)
2013,389.6,Galveston (Pier 21)
2014,371.3,Galveston (Pier 21)
1964,0.0,Hilo
1965,10.9,Hilo
1966,35.6,Hilo
1967,24.4,Hilo
1968,34.3,Hilo
1969,67.5,Hilo
1970,-2.2,Hilo
1971,-26.2,Hilo
1972,-38.3,Hilo
1973,-12.0,Hilo
1974,91.4,Hilo
1975,-23.4,Hilo
1976,4.5,Hilo
1977,22.1,Hilo
1978,109.7,Hilo
1979,73.0,Hilo
1980,109.7,Hilo
1981,118.1,Hilo
1982,68.0,Hilo
1983,86.3,Hilo
1984,110.9,Hilo
1985,65.8,Hilo
1986,31.0,Hilo
1987,91.7,Hilo
1988,111.6,Hilo
1989,77.0,Hilo
1990,38.6,Hilo
1991,69.4,Hilo
1992,125.8,Hilo
1993,130.3,Hilo
1994,64.9,Hilo
1995,106.1,Hilo
1996,131.7,Hilo
1997,120.0,Hilo
1998,64.5,Hilo
1999,81.1,Hilo
2000,24.2,Hilo
2001,103.3,Hilo
2002,102.1,Hilo
2003,141.1,Hilo
2004,184.5,Hilo
2005,139.5,Hilo
2006,132.9,Hilo
2007,126.1,Hilo
2008,120.9,Hilo
2009,75.5,Hilo
2010,113.0,Hilo
2011,105.2,Hilo
2012,74.6,Hilo
2013,119.5,Hilo
2014,136.3,Hilo
1964,0.0,Honolulu
1965,-15.2,Honolulu
1966,-2.1,Honolulu
1967,-37.7,Honolulu
1968,22.1,Honolulu
1969,35.0,Honolulu
1970,-24.4,Honolulu
1971,-31.3,Honolulu
1972,-31.5,Honolulu
1973,6.3,Honolulu
1974,60.5,Honolulu
1975,-27.2,Honolulu
1976,-6.6,Honolulu
1977,11.8,Honolulu
1978,44.0,Honolulu
1979,21.0,Honolulu
1980,60.6,Honolulu
1981,87.7,Honolulu
1982,-0.2,Honolulu
1983,14.6,Honolulu
1984,61.2,Honolulu
1985,32.5,Honolulu
1986,-29.7,Honolulu
1987,-2.0,Honolulu
1988,83.6,Honolulu
1989,20.4,Honolulu
1990,-28.8,Honolulu
1991,15.2,Honolulu
1992,53.8,Honolulu
1993,38.3,Honolulu
1994,32.6,Honolulu
1995,95.0,Honolulu
1996,76.9,Honolulu
1997,61.5,Honolulu
1998,-8.5,Honolulu
1999,42.4,Honolulu
2000,8.9,Honolulu
2001,23.9,Honolulu
2002,18.8,Honolulu
2003,91.8,Honolulu
2004,91.4,Honolulu
2005,60.9,Honolulu
2006,90.6,Honolulu
